DATE,SP500,GOOGLE,AMAZON,APPLE,MICROSOFT
2005-06-16,1210.959961,138.201981,35.580002,5.425714,25.040001
2005-06-17,1216.959961,139.626648,35.310001,5.472857,25.040001
2005-06-20,1216.099976,142.814697,35.689999,5.372857,25.110001
2005-06-21,1213.609985,143.382568,35.380001,5.408571,25.15
2005-06-22,1213.880005,144.109848,35.220001,5.507143,25.07
2005-06-23,1200.72998,144.314072,35.43,5.555714,25.309999
2005-06-24,1191.569946,148.069992,35.02,5.394286,25.040001
2005-06-27,1190.689941,151.482208,34.5,5.3,25.049999
2005-06-28,1201.569946,150.436127,33.709999,5.33,25.07
2005-06-29,1199.849976,145.813461,33.349998,5.195714,25.09
2005-06-30,1191.329956,146.525787,33.09,5.258572,24.84
2005-07-01,1194.439941,145.081207,32.91,5.214286,24.709999
2005-07-05,1204.98999,147.302872,34.080002,5.425714,24.98
2005-07-06,1194.939941,145.215698,34.060001,5.341429,24.700001
2005-07-07,1197.869995,147.218185,33.959999,5.375714,24.65
2005-07-08,1211.859985,147.561905,34.740002,5.464286,25.09
2005-07-11,1219.439941,146.127274,35.59,5.442857,25.290001
2005-07-12,1222.209961,145.345215,36.310001,5.462857,25.610001
2005-07-13,1223.290039,148.871994,36.509998,5.478571,25.66
2005-07-14,1226.5,149.883194,37.189999,5.821429,25.969999
2005-07-15,1227.920044,150.032639,37.150002,5.935714,25.790001
2005-07-18,1221.130005,149.210724,37.189999,5.927143,25.549999
2005-07-19,1229.349976,154.371384,38.169998,6.17,26.16
2005-07-20,1235.199951,155.41745,38.169998,6.232857,26.190001
2005-07-21,1227.040039,156.383835,37.950001,6.184286,26.440001
2005-07-22,1233.680054,150.635376,37.950001,6.285714,25.68
2005-07-25,1229.030029,147.372604,37.950001,6.258572,25.690001
2005-07-26,1231.160034,147.492157,37.740002,6.232857,25.540001
2005-07-27,1236.790039,147.910599,43.650002,6.284286,25.719999
2005-07-28,1243.719971,146.201996,45.68,6.257143,25.75
2005-07-29,1234.180054,143.342712,45.150002,6.092857,25.610001
2005-08-01,1235.349976,145.260529,44.93,6.107143,25.92
2005-08-02,1244.119995,149.036377,46.509998,6.17,26.809999
2005-08-03,1245.040039,148.09491,46.110001,6.174286,27.25
2005-08-04,1235.859985,148.309097,45.459999,6.101429,27.32
2005-08-05,1226.420044,145.62915,45.27,6.141428,27.76
2005-08-08,1223.130005,145.081207,45.66,6.092857,27.129999
2005-08-09,1231.380005,145.240601,45.93,6.26,27.35
2005-08-10,1229.130005,142.306595,44.759998,6.197143,26.950001
2005-08-11,1237.810059,141.494644,45.209999,6.285714,27.27
2005-08-12,1230.390015,144.319061,44.200001,6.585714,27.049999
2005-08-15,1233.869995,141.469742,45.040001,6.811429,27.129999
2005-08-16,1219.339966,142.291656,44.27,6.607143,26.74
2005-08-17,1220.23999,142.017685,44.119999,6.735714,26.950001
2005-08-18,1219.02002,139.472229,43.73,6.614286,26.82
2005-08-19,1219.709961,139.477203,43.720001,6.547143,26.719999
2005-08-22,1221.72998,136.493393,43.77,6.552857,26.91
2005-08-23,1217.589966,139.26799,43.419998,6.534286,26.870001
2005-08-24,1209.589966,140.757401,42.369999,6.538571,26.809999
2005-08-25,1212.369995,140.767365,42.310001,6.58,27.030001
2005-08-26,1205.099976,141.260513,42.369999,6.534286,26.969999
2005-08-29,1212.280029,143.686432,42.790001,6.548572,27.15
2005-08-30,1208.410034,143.098633,42.490002,6.652857,27.18
2005-08-31,1220.329956,142.466003,42.700001,6.698571,27.379999
2005-09-01,1221.589966,142.59053,41.84,6.608572,27.200001
2005-09-02,1218.02002,143.686432,41.509998,6.602857,27.02
2005-09-06,1233.390015,143.018936,43.619999,6.971428,27
2005-09-07,1236.359985,146.884445,43.73,6.954286,26.85
2005-09-08,1231.670044,147.143463,42.959999,7.111429,26.610001
2005-09-09,1241.47998,148.986557,42.950001,7.33,26.58
